RMSE,MAPE,R2,RAE,TRAIN,TEST
8.9159735,16.1981909,52.0924029,61.7854576,0.009587864,0.008148931
8.85910722,16.0026792,52.749544,61.2374269,0.009436972,0.008037153
8.85881246,16.05883405,52.7447567,61.2390333,0.009279158,0.008037967
8.77076143,15.9210222,53.5887479,60.7394335,0.009264505,0.007894407
8.75901167,15.8756438,53.8286115,60.6604567,0.009118092,0.007853607
8.78559116,15.82067305,53.5666518,60.3869138,0.009449572,0.007898166
8.67082938,15.6428891,54.7066028,59.7619534,0.009270469,0.007704263
8.7408621,15.71376795,53.9242962,60.1778832,0.009189124,0.007837332
8.69801943,15.61183625,54.4310904,59.7742817,0.009093839,0.007751127
8.75400886,15.7053301,53.758757,60.1898247,0.009083291,0.007865489
8.5940587,15.5445328,55.592606,59.1966826,0.008962198,0.007553557
8.55250349,15.3895773,55.9462759,58.7740671,0.008884629,0.007493399
8.55054557,15.34408345,55.9458652,58.7847043,0.008945326,0.007493469
8.52275475,15.3111052,56.2371048,58.6577356,0.008713534,0.00744393
8.6171811,15.41921675,55.2766207,59.0393277,0.008787731,0.007607305
8.56031431,15.38492815,55.8247286,58.7516537,0.008825965,0.007514074
8.49500198,15.16033995,56.6715186,58.1816935,0.008714737,0.007370038
8.47278051,15.0766974,56.7450079,57.8850889,0.008537305,0.007357537
8.50347314,15.1298785,56.5589652,57.9466887,0.008656957,0.007389183
8.30606437,14.88177635,58.4416699,56.9399592,0.00853741,0.00706894
8.38830716,15.0552361,57.7275501,57.6239614,0.008443389,0.00719041
8.3993563,14.9384157,57.5318607,57.4569555,0.008321728,0.007223696
8.4054163,14.8826288,57.533913,57.161569,0.00839824,0.007223347
8.35545275,14.91692335,58.1065553,57.0569019,0.008187508,0.007125942
8.29840786,14.78542485,58.6858073,56.5143693,0.008183347,0.007027413
8.26014164,14.7485387,58.9595688,56.3671816,0.008221967,0.006980847
8.2481805,14.5908875,59.0733205,56.0743831,0.00805894,0.006961499
8.21531459,14.5212932,59.5088097,55.7284086,0.008256292,0.006887423
8.32108002,14.723479,58.3475102,56.5540939,0.008109722,0.007084957
8.26303867,14.5594715,59.0865917,55.9358648,0.008080066,0.006959241
8.16838447,14.445602,59.9804299,55.4320983,0.008197625,0.006807203
8.16544467,14.4762696,59.9414646,55.4935518,0.00789956,0.00681383
8.20528102,14.4991723,59.6019428,55.550279,0.007865386,0.006871582
8.11983099,14.25715755,60.3680195,55.033085,0.007811069,0.006741275
8.11836537,14.32029725,60.4850673,54.8450434,0.007905165,0.006721365
8.14374942,14.3462439,60.2702506,55.0169453,0.00787292,0.006757905
8.04424399,14.2229558,61.1722951,54.5657281,0.007840495,0.00660447
8.10389854,14.3604116,60.6665494,54.820356,0.00782501,0.006690495
8.09880365,14.343995,60.7016996,55.0132243,0.007695313,0.006684516
8.05527616,14.1522496,61.0871233,54.2491161,0.007705714,0.006618957
8.06909994,14.1893339,61.0485216,54.4153003,0.007633555,0.006625523
7.99694858,14.053217,61.6763941,54.0120069,0.007750288,0.006518724
7.9428528,13.9972822,62.1984182,53.6285466,0.007701179,0.006429929
7.98707065,14.0695186,61.7282809,53.9976216,0.007541472,0.006509898
7.949516,13.8799298,62.1487774,53.3014406,0.007477773,0.006438373
7.95190005,13.8904671,62.1697061,53.5047815,0.007381952,0.006434813
7.98424338,13.97199255,61.823042,53.6306678,0.007297248,0.00649378
7.86125415,13.80028695,62.9320818,53.0014633,0.007515145,0.006305136
7.91233233,13.8683956,62.5379901,53.2514441,0.007513674,0.006372169
7.89382847,13.84489145,62.6944261,53.1349865,0.007232803,0.00634556
7.87259396,13.6372549,62.9350068,52.7023723,0.007373922,0.006304638
7.94266352,13.6632429,62.1821025,52.9477203,0.007282549,0.006432705
7.90712051,13.6724709,62.5816279,52.8354514,0.007115252,0.006364747
7.80781264,13.61853995,63.4606247,52.5401337,0.007349308,0.006215232
7.81384431,13.6755216,63.4344697,52.5905897,0.007346627,0.006219681
7.87680421,13.6329429,62.8163285,52.692833,0.007111812,0.006324825
7.79348459,13.4268561,63.64812,52.0696892,0.007123181,0.00618334
7.77010026,13.4201352,63.8231496,51.9612352,0.00700671,0.006153568
7.6701318,13.4408929,64.7925828,51.4842667,0.007110076,0.00598867
7.77628801,13.6285648,63.8294602,52.2466328,0.007022643,0.006152494
7.68825312,13.38212655,64.6150612,51.4323779,0.007068948,0.006018866
7.7215368,13.3604999,64.3079309,51.4761436,0.007104335,0.006071108
7.71027801,13.32975135,64.501669,51.4382687,0.006930417,0.006038154
7.61693759,13.27922685,65.3525253,51.1434326,0.00687706,0.005893426
7.60560081,13.2444769,65.4615737,50.9961558,0.006948513,0.005874877
7.62411305,13.1565243,65.2147678,50.7719213,0.00676469,0.005916858
7.57728461,13.0723428,65.6627047,50.470538,0.006875242,0.005840665
7.57901636,13.1754381,65.6721447,50.751873,0.006776007,0.00583906
7.54082262,13.0805385,66.0229471,50.4970055,0.006822053,0.005779389
7.5768944,13.1079651,65.6761605,50.5542852,0.00670095,0.005838376
7.58679429,13.1249167,65.6123554,50.546122,0.006749789,0.005849229
7.57127073,13.0177421,65.7841706,50.2941057,0.00687645,0.005820005
7.5805535,13.0073159,65.5932971,50.345769,0.006662302,0.005852471
