RMSE,MAPE,R2,RAE,TRAIN,TEST
3.1790346,5.11828082,94.0536436,20.9281784,0.00107321,0.001011456
3.17837452,5.11781435,94.0561726,20.9251891,0.001072672,0.001011026
3.17778043,5.11647162,94.0584522,20.920571,0.001072142,0.001010639
3.17717111,5.11402322,94.060778,20.9135275,0.001071583,0.001010243
3.17656583,5.11366958,94.063099,20.9112693,0.00107104,0.001009848
3.17592964,5.11336299,94.0655349,20.9087798,0.001070524,0.001009434
3.17530353,5.113415,94.0679254,20.9071555,0.001069984,0.001009027
3.17465133,5.11257688,94.0704134,20.903328,0.001069474,0.001008604
3.17407278,5.11225449,94.0726319,20.9012883,0.001068953,0.001008226
3.17343706,5.11105923,94.0750575,20.8969133,0.001068448,0.001007814
3.17282678,5.10993982,94.0773929,20.8926315,0.001067935,0.001007416
3.17230425,5.10808473,94.0793905,20.8870406,0.001067411,0.001007077
3.17167356,5.10801184,94.0817947,20.8852717,0.00106689,0.001006668
3.17112099,5.10812702,94.0839123,20.8840334,0.00106641,0.001006308
3.17054585,5.1081353,94.0861041,20.8825671,0.001065906,0.001005935
3.16995531,5.10827925,94.0883533,20.881223,0.001065397,0.001005552
3.16939023,5.10736217,94.0905115,20.8778372,0.001064937,0.001005185
3.16883965,5.10599121,94.0926139,20.8731784,0.001064426,0.001004828
3.16825506,5.10444175,94.0948432,20.868152,0.001063938,0.001004448
3.16772536,5.10232201,94.0968632,20.8619975,0.001063453,0.001004105
3.16711698,5.10329854,94.0991786,20.8627499,0.00106299,0.001003711
3.16661473,5.10430345,94.1010947,20.8636312,0.001062505,0.001003385
3.16608231,5.10421388,94.1031209,20.8619562,0.001062045,0.00100304
3.16552744,5.10293112,94.1052291,20.8574182,0.001061553,0.001002682
3.16500538,5.10002854,94.1072236,20.8495815,0.001061077,0.001002343
3.16442653,5.09929361,94.109421,20.846396,0.001060631,0.001001969
3.16392458,5.09879019,94.111337,20.8439444,0.001060155,0.001001643
3.16334207,5.09917957,94.1135485,20.8430719,0.001059702,0.001001267
3.16283172,5.09953031,94.1154828,20.8425676,0.001059255,0.001000938
3.16231148,5.09885121,94.1174669,20.8396959,0.001058789,0.0010006
3.16183288,5.09818706,94.1192855,20.8370602,0.001058336,0.001000291
3.16129442,5.09650726,94.12133,20.8317632,0.001057891,0.000999943
3.16082779,5.09519178,94.1231005,20.8276603,0.001057439,0.000999642
3.16029399,5.09509495,94.1251311,20.8263235,0.001056997,0.000999297
3.15979029,5.09569539,94.12704,20.8263823,0.001056559,0.000998972
3.15934141,5.09625912,94.128745,20.8263537,0.0010561,0.000998682
3.1587707,5.09563543,94.1309039,20.823144,0.001055679,0.000998315
3.15829655,5.09345221,94.1327034,20.8171609,0.001055227,0.000998008
3.15779791,5.09255196,94.1345974,20.8138486,0.001054821,0.000997686
3.15730688,5.09163943,94.1364606,20.8104956,0.001054373,0.000997369
3.1568761,5.09122681,94.1380934,20.8085827,0.001053961,0.000997092
3.15635392,5.09152762,94.140069,20.8077658,0.001053544,0.000996756
3.15591733,5.09177245,94.141722,20.8072337,0.001053106,0.000996474
3.15545923,5.09150378,94.1434585,20.8053258,0.001052697,0.000996179
3.15495457,5.09000253,94.1453702,20.8008542,0.001052276,0.000995854
3.15444217,5.0880014,94.1473038,20.7949256,0.001051838,0.000995525
3.15399858,5.08792274,94.1489866,20.7934641,0.001051462,0.000995239
3.15355636,5.0882791,94.1506565,20.7932264,0.001051033,0.000994955
3.15307166,5.08816502,94.1524869,20.7916879,0.001050638,0.000994644
3.15263278,5.08776916,94.1541454,20.7894811,0.001050242,0.000994361
3.15224631,5.08757716,94.1556129,20.788226,0.001049826,0.000994112
3.1517668,5.08653145,94.1574243,20.7846645,0.001049431,0.000993804
3.15133389,5.08572526,94.1590571,20.7818692,0.001049025,0.000993526
3.15083352,5.08531991,94.1609413,20.7796329,0.001048636,0.000993205
3.15042795,5.08517155,94.1624763,20.7779644,0.00104824,0.000992944
3.1500321,5.08469912,94.1639727,20.7761429,0.001047824,0.00099269
3.14955798,5.08403315,94.1657571,20.7732683,0.001047454,0.000992386
3.14909957,5.08255493,94.1674863,20.7688809,0.001047079,0.000992092
3.14870715,5.08322214,94.1689665,20.7695696,0.001046686,0.00099184
3.14830325,5.08337134,94.170491,20.7686436,0.001046302,0.000991581
3.14786381,5.08296809,94.1721415,20.7666927,0.001045933,0.0009913
3.14740621,5.08217325,94.1738697,20.763589,0.001045545,0.000991007
3.14700028,5.08164829,94.1754009,20.7614922,0.001045183,0.000990746
3.14658379,5.07987264,94.1769697,20.7565443,0.001044776,0.000990479
3.14617346,5.07949353,94.1785125,20.7546774,0.001044445,0.000990217
3.14579752,5.08037111,94.1799258,20.7556706,0.00104406,0.000989976
3.14539256,5.08083083,94.181451,20.7556312,0.001043693,0.000989717
3.14495461,5.07962933,94.183097,20.7517849,0.001043331,0.000989436
3.14451779,5.07843479,94.18474,20.7480375,0.001042977,0.000989157
3.14410953,5.0770318,94.1862734,20.7438074,0.001042597,0.000988896
3.1437222,5.0773108,94.1877309,20.7434776,0.001042228,0.000988649
3.14337996,5.07868746,94.1890136,20.7459995,0.001041877,0.00098843
3.14296898,5.07807347,94.1905624,20.7434524,0.00104151,0.000988167
3.14264254,5.07792107,94.19179,20.7422118,0.001041168,0.000987958
3.1421929,5.07592133,94.1934754,20.7364914,0.001040817,0.000987671
3.14178665,5.07549707,94.1950004,20.7343982,0.001040471,0.000987412
3.14140899,5.07561607,94.1964166,20.7337714,0.001040094,0.000987171
3.14103001,5.07518118,94.1978385,20.7320095,0.001039781,0.000986929
3.14069395,5.07518734,94.199101,20.7312201,0.001039434,0.000986715
3.14020847,5.07286364,94.2009187,20.7246047,0.001039073,0.000986405
3.13990015,5.07384443,94.2020749,20.7260188,0.001038761,0.000986209
3.13955528,5.07489725,94.203368,20.7275852,0.001038395,0.000985989
3.13916737,5.07360775,94.2048255,20.7235768,0.001038067,0.000985741
3.13882333,5.07344087,94.206113,20.7224152,0.001037733,0.000985522
3.13843616,5.07235528,94.2075635,20.7190264,0.001037381,0.000985275
3.13803014,5.07097499,94.2090796,20.714907,0.00103707,0.000985017
3.13770222,5.07154573,94.2103051,20.7153328,0.00103674,0.000984809
3.1373676,5.07180249,94.2115632,20.7150026,0.001036399,0.000984595
3.13705853,5.07225856,94.2127195,20.7152499,0.001036066,0.000984398
3.13660056,5.07012254,94.2144311,20.7092102,0.001035742,0.000984107
3.13625774,5.06987632,94.2157115,20.7077215,0.00103543,0.000983889
3.13590968,5.06948885,94.2170126,20.7061645,0.001035103,0.000983668
3.13558443,5.07053998,94.218226,20.7076904,0.00103479,0.000983461
3.13530976,5.07071295,94.2192569,20.7075422,0.001034444,0.000983286
3.13493334,5.0698016,94.2206633,20.7044718,0.001034137,0.000983047
3.13453426,5.06774334,94.2221526,20.6985172,0.00103384,0.000982794
3.13414537,5.06651189,94.223604,20.6947112,0.001033515,0.000982547
3.13385454,5.06707698,94.224691,20.6954759,0.001033202,0.000982362
3.13355157,5.06828202,94.225821,20.6973331,0.001032896,0.00098217
3.13325515,5.06922162,94.2269264,20.6987012,0.001032583,0.000981982
3.13288412,5.0677891,94.2283119,20.6945439,0.001032275,0.000981746
3.1325361,5.06594944,94.2296075,20.6895536,0.001031965,0.000981525
3.1321966,5.06535793,94.2308774,20.6873197,0.001031656,0.000981309
3.13185098,5.06462805,94.2321629,20.6847969,0.001031364,0.00098109
3.13158307,5.06591248,94.2331624,20.6870476,0.001031078,0.000980921
3.13131187,5.06655324,94.2341739,20.6877863,0.001030744,0.000980749
3.13097012,5.06670812,94.2354502,20.687193,0.001030465,0.000980532
3.13063032,5.06519624,94.2367144,20.6827418,0.001030186,0.000980317
3.13025762,5.06332687,94.2381025,20.6775941,0.001029873,0.000980081
3.12995386,5.06349637,94.2392298,20.6774156,0.001029592,0.000979889
3.12971711,5.06385289,94.2401114,20.6777601,0.001029283,0.000979739
3.12934026,5.0628069,94.241517,20.674209,0.00102899,0.0009795
3.12901514,5.06289713,94.2427248,20.6734054,0.001028705,0.000979294
3.12879208,5.06414898,94.243557,20.6756172,0.00102841,0.000979153
3.12844446,5.0630555,94.2448464,20.672225,0.001028142,0.000978933
3.12815258,5.06259319,94.2459331,20.6705159,0.001027853,0.000978749
3.12781094,5.06136227,94.247202,20.6669917,0.001027563,0.000978533
3.12753888,5.06171742,94.2482116,20.6671509,0.001027267,0.000978361
3.12725886,5.06121617,94.2492535,20.6650983,0.001026993,0.000978184
3.12694297,5.06090958,94.2504288,20.6633935,0.001026753,0.000977984
3.12670509,5.06169807,94.251313,20.6646263,0.001026459,0.000977834
3.12634645,5.06016145,94.2526446,20.6601237,0.001026155,0.000977607
3.12610691,5.06045308,94.2535356,20.6602959,0.001025895,0.000977455
3.12580913,5.0597752,94.2546394,20.65807,0.001025629,0.000977268
3.12548928,5.0593552,94.2558254,20.6564708,0.001025351,0.000977066
3.12521155,5.05888268,94.256855,20.6545177,0.001025069,0.000976891
3.12492267,5.05878875,94.2579325,20.653407,0.001024804,0.000976708
3.12466832,5.05892625,94.258876,20.65287,0.001024539,0.000976547
3.1244637,5.06043729,94.2596301,20.6559886,0.001024303,0.000976419
3.12407212,5.05806088,94.261082,20.6496383,0.001024032,0.000976172
3.1237858,5.05722636,94.2621432,20.6468359,0.001023764,0.000975991
3.12348013,5.05609398,94.2632759,20.6438628,0.001023484,0.000975798
3.12324441,5.05700258,94.2641495,20.645233,0.001023236,0.00097565
3.12302826,5.05813518,94.2649495,20.6471444,0.001022965,0.000975514
3.12278704,5.05816749,94.2658486,20.6464858,0.00102273,0.000975361
