TIME,Origin,L3F,LSTM,SVR
25/06/2018 15:45,163,172.3917127,150.55866,174.5744453
25/06/2018 15:50,159,175.8448398,148.5866719,171.0589286
25/06/2018 15:55,160,173.3746743,157.8123295,171.0589286
25/06/2018 16:00,159,171.7056477,165.1785076,171.0589286
25/06/2018 16:05,159,170.4300547,166.7770946,167.453423
25/06/2018 16:10,159,165.2163088,165.2661955,161.8919475
25/06/2018 16:15,162,158.809514,160.158844,160.9486338
25/06/2018 16:20,152,156.4326525,160.8779347,157.1328668
25/06/2018 16:25,153,151.5784395,160.1553071,158.0929435
25/06/2018 16:30,156,151.082859,159.71861,157.1328668
25/06/2018 16:35,153,152.1756029,154.7324789,157.1328668
25/06/2018 16:40,145,154.2023158,157.7143824,157.1328668
25/06/2018 16:45,142,155.0333667,153.6181772,160.0009483
25/06/2018 16:50,142,158.9007652,149.262017,150.3104809
25/06/2018 16:55,142,151.2407184,154.2973936,151.2951424
25/06/2018 17:00,137,149.1371465,142.6448238,154.2298135
25/06/2018 17:05,134,150.4646659,146.0398471,151.2951424
25/06/2018 17:10,129,148.5201371,142.9424632,143.3409038
25/06/2018 17:15,130,141.1058569,146.4071906,140.3198907
25/06/2018 17:20,128,138.5226643,149.6556795,140.3198907
25/06/2018 17:25,130,134.8900175,138.3786166,140.3198907
25/06/2018 17:30,129,133.3677351,135.8492184,135.2526855
25/06/2018 17:35,131,131.1114323,136.3934588,132.1989372
25/06/2018 17:40,131,130.071466,138.0611455,127.0986459
25/06/2018 17:45,127,124.377532,138.8490975,128.1191454
25/06/2018 17:50,124,122.5509536,130.5990064,126.078196
25/06/2018 17:55,120,120.8407342,128.2275349,128.1191454
25/06/2018 18:00,116,124.7636151,126.3663721,127.0986459
25/06/2018 18:05,113,126.5313745,124.9599636,129.1395593
25/06/2018 18:10,111,130.5660021,126.9846582,129.1395593
25/06/2018 18:15,108,131.1387098,128.2078922,125.0579306
25/06/2018 18:20,107,128.2182348,119.6462762,121.9995906
25/06/2018 18:25,107,122.8454363,121.3329256,117.932561
25/06/2018 18:30,106,116.9610727,127.2377551,113.8856849
25/06/2018 18:35,107,109.6187913,123.5916567,110.8688716
